rank	language_script	language	language_name	script	region	new_length	original_length	source_dataset_dir	selection_rule	selection_note	status
1	fur_Latn	fur	Friulian	Latn	Europe	30052	47966	/disk3/moon/Glot500/data/raw/fur_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Romance language from northeastern Italy	PASS
2	krc_Cyrl	krc	Karachay-Balkar	Cyrl	North Caucasus	30353	40368	/disk3/moon/Glot500/data/raw/krc_Cyrl	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Turkic language in Cyrillic script	PASS
3	acm_Arab	acm	Mesopotamian Arabic	Arab	West Asia	44505	82814	/disk3/moon/Glot500/data/raw/acm_Arab	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Mesopotamian Arabic in Arabic script	PASS
4	dzo_Tibt	dzo	Dzongkha	Tibt	Himalaya	52732	61333	/disk3/moon/Glot500/data/raw/dzo_Tibt	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Dzongkha in Tibetan script	PASS
5	sat_Olck	sat	Santali	Olck	South Asia	39614	65890	/disk3/moon/Glot500/data/raw/sat_Olck	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Santali in Ol Chiki script	PASS
6	mad_Latn	mad	Madurese	Latn	Southeast Asia	38993	40771	/disk3/moon/Glot500/data/raw/mad_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Madurese from Indonesia	PASS
7	bam_Latn	bam	Bambara	Latn	West Africa	32150	36761	/disk3/moon/Glot500/data/raw/bam_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Mande language from Mali and nearby areas	PASS
8	kjb_Latn	kjb	Q'anjob'al	Latn	Mesoamerica	31471	32657	/disk3/moon/Glot500/data/raw/kjb_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Mayan language from Guatemala and Mexico	PASS
9	quw_Latn	quw	Tena Lowland Quichua	Latn	Andean South America	33449	44927	/disk3/moon/Glot500/data/raw/quw_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Tena Lowland Quichua from Ecuador	PASS
10	rap_Latn	rap	Rapanui	Latn	Polynesia	30102	32930	/disk3/moon/Glot500/data/raw/rap_Latn	non-XLM-R Glot500 raw language with new_length >= 30000; manually curated for region/script diversity	Rapanui from Easter Island	PASS
