model_key	run_name	record_index	step	total_steps	loss	learning_rate	epoch	log_path
v5_random	v5_random_mlm_10k	1	100	10000	6.6207	4.953e-05	0.01	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	2	200	10000	4.8828	4.903e-05	0.01	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	3	300	10000	4.7018	4.8530000000000005e-05	0.02	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	4	400	10000	4.6061	4.8030000000000006e-05	0.02	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	5	500	10000	4.5225	4.753e-05	0.03	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	6	600	10000	4.4628	4.703e-05	0.03	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	7	700	10000	4.3962	4.6530000000000003e-05	0.04	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	8	800	10000	4.3487	4.603e-05	0.04	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	9	900	10000	4.303	4.553e-05	0.05	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	10	1000	10000	4.2514	4.503e-05	0.06	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	11	1100	10000	4.227	4.453e-05	0.06	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	12	1200	10000	4.1798	4.4030000000000004e-05	0.07	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	13	1300	10000	4.1459	4.3530000000000005e-05	0.07	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	14	1400	10000	4.0952	4.3030000000000006e-05	0.08	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	15	1500	10000	4.0512	4.253e-05	0.08	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	16	1600	10000	4.0118	4.203e-05	0.09	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	17	1700	10000	3.9753	4.1530000000000004e-05	0.09	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	18	1800	10000	3.9228	4.103e-05	0.1	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
