model_key	language_script	group	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
v5_random	lao_Laoo	head	100	5926	3.249137	25.768104	22.850
v5_random	mya_Mymr	head	100	4978	3.394191	29.790543	19.077
v5_random	ara_Arab	head	100	2075	3.395236	29.821700	4.015
v5_random	mar_Deva	head	100	2937	2.888348	17.963611	7.455
v5_random	hau_Latn	head	100	4352	3.711079	40.897926	15.409
v5_random	uzb_Latn	head	100	4370	2.748926	15.625844	14.658
v5_random	slv_Latn	head	100	2342	2.397798	10.998930	5.206
v5_random	fin_Latn	head	100	2248	2.255576	9.540788	4.389
v5_random	hun_Latn	head	100	2357	2.030351	7.616760	4.303
v5_random	cmn_Hani	head	100	982	3.260391	26.059732	1.196
v5_random	est_Latn	head	100	2561	3.024287	20.579321	4.942
v5_random	bre_Latn	head	100	3317	3.832215	46.164699	9.689
v5_random	hrv_Latn	head	100	2061	2.467507	11.793010	4.652
v5_random	jav_Latn	head	100	2819	3.941201	51.480392	6.595
v5_random	ron_Latn	head	100	2574	2.017805	7.521793	6.272
v5_random	ell_Grek	head	100	2789	2.101126	8.175367	6.316
v5_random	nor_Latn	head	100	2385	2.218718	9.195537	5.211
v5_random	slk_Latn	head	100	2791	2.209201	9.108433	6.809
v5_random	vie_Latn	head	100	2261	2.120546	8.335684	5.046
v5_random	amh_Ethi	head	100	5917	3.250047	25.791542	25.554
v5_random	epo_Latn	head	100	2594	3.293609	26.939903	4.818
v5_random	bel_Cyrl	head	100	3817	2.322374	10.199861	11.621
v5_random	xho_Latn	head	100	3577	4.558647	95.454275	9.727
v5_random	hin_Deva	head	100	2971	2.376802	10.770403	7.884
v5_random	tam_Taml	head	100	3143	3.209326	24.762389	8.442
v5_random	mon_Cyrl	head	100	5135	2.880974	17.831639	19.474
v5_random	ces_Latn	head	100	2549	2.390781	10.922022	5.451
v5_random	san_Deva	head	100	2232	4.272712	71.715875	3.587
