model_key	language_script	group	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
xlmr_base	lao_Laoo	head	100	7445	1.486388	4.421096	24.566
xlmr_base	mya_Mymr	head	100	5583	2.019745	7.536405	16.882
xlmr_base	ara_Arab	head	100	2238	2.181416	8.858841	3.458
xlmr_base	mar_Deva	head	100	3097	2.070674	7.930166	6.146
xlmr_base	hau_Latn	head	100	4947	2.742867	15.531444	14.018
xlmr_base	uzb_Latn	head	100	4781	1.791633	5.999238	12.513
xlmr_base	slv_Latn	head	100	2423	1.797928	6.037128	4.247
xlmr_base	fin_Latn	head	100	2349	1.544149	4.683985	3.678
xlmr_base	hun_Latn	head	100	2397	1.485892	4.418907	3.376
xlmr_base	cmn_Hani	head	100	997	3.000236	20.090280	1.014
xlmr_base	est_Latn	head	100	2730	2.082816	8.027037	4.334
xlmr_base	bre_Latn	head	100	3839	2.990129	19.888248	9.318
xlmr_base	hrv_Latn	head	100	2125	1.866420	6.465110	3.660
xlmr_base	jav_Latn	head	100	3158	3.044549	21.000564	6.083
xlmr_base	ron_Latn	head	100	2635	1.562569	4.771065	4.909
xlmr_base	ell_Grek	head	100	2893	1.339385	3.816696	5.083
xlmr_base	nor_Latn	head	100	2436	1.662848	5.274312	4.112
xlmr_base	slk_Latn	head	100	2951	1.378650	3.969538	5.736
xlmr_base	vie_Latn	head	100	2303	1.805571	6.083444	3.957
xlmr_base	amh_Ethi	head	100	6365	2.160771	8.677822	21.215
xlmr_base	epo_Latn	head	100	2705	2.682714	14.624738	3.986
xlmr_base	bel_Cyrl	head	100	4043	1.368576	3.929750	9.589
xlmr_base	xho_Latn	head	100	4350	3.624398	37.502130	10.074
xlmr_base	hin_Deva	head	100	3104	1.779856	5.929005	6.400
xlmr_base	tam_Taml	head	100	3463	1.792896	6.006823	7.315
xlmr_base	mon_Cyrl	head	100	5574	1.735622	5.672453	16.641
xlmr_base	ces_Latn	head	100	2665	1.598157	4.943912	4.516
xlmr_base	san_Deva	head	100	2649	3.028952	20.675544	3.627
xlmr_base	hye_Armn	head	100	5714	1.447875	4.254064	18.331
xlmr_base	pus_Arab	head	100	4029	2.472542	11.852539	9.604
xlmr_base	som_Arab	head	100	4866	1.819485	6.168678	15.194
xlmr_base	kan_Knda	head	100	3218	1.781046	5.936063	5.686
xlmr_base	isl_Latn	head	100	3740	2.045326	7.731678	8.701
xlmr_base	ori_Orya	head	100	5987	1.613343	5.019562	18.786
xlmr_base	afr_Latn	head	100	2665	2.581054	13.211062	4.557
xlmr_base	deu_Latn	head	100	2187	1.584482	4.876762	3.167
xlmr_base	urd_Arab	head	100	3303	2.282080	9.797038	8.054
xlmr_base	bul_Cyrl	head	100	2625	1.495676	4.462353	5.021
xlmr_base	tgl_Latn	head	100	2743	2.195817	8.987338	4.341
xlmr_base	eus_Latn	head	100	2732	2.269593	9.675462	4.600
xlmr_base	pol_Latn	head	100	2719	1.358641	3.890901	4.800
