language_script	language	group	status	pivot_language_script	shared_verses	written_samples	output	reason
lao_Laoo	lao	seen	skipped_bible_not_ready		0	0		too_few_shared_verses
mya_Mymr	mya	seen	ready	deu_Latn	7910	7910	evaluation/download_data/download/roundtrip_alignment/roundtrip.mya_Mymr.jsonl	available
ara_Arab	ara	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
mar_Deva	mar	seen	ready	deu_Latn	7896	7896	evaluation/download_data/download/roundtrip_alignment/roundtrip.mar_Deva.jsonl	available
hau_Latn	hau	seen	ready	deu_Latn	7938	7938	evaluation/download_data/download/roundtrip_alignment/roundtrip.hau_Latn.jsonl	available
uzb_Latn	uzb	seen	ready	deu_Latn	7917	7917	evaluation/download_data/download/roundtrip_alignment/roundtrip.uzb_Latn.jsonl	available
slv_Latn	slv	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.slv_Latn.jsonl	available
fin_Latn	fin	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.fin_Latn.jsonl	available
hun_Latn	hun	seen	ready	deu_Latn	7936	7936	evaluation/download_data/download/roundtrip_alignment/roundtrip.hun_Latn.jsonl	available
cmn_Hani	cmn	seen	ready	deu_Latn	7914	7914	evaluation/download_data/download/roundtrip_alignment/roundtrip.cmn_Hani.jsonl	available
est_Latn	est	seen	skipped_bible_not_ready		0	0		missing_source_bible
bre_Latn	bre	seen	ready	deu_Latn	7934	7934	evaluation/download_data/download/roundtrip_alignment/roundtrip.bre_Latn.jsonl	available
hrv_Latn	hrv	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.hrv_Latn.jsonl	available
jav_Latn	jav	seen	ready	deu_Latn	7938	7938	evaluation/download_data/download/roundtrip_alignment/roundtrip.jav_Latn.jsonl	available
ron_Latn	ron	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.ron_Latn.jsonl	available
ell_Grek	ell	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.ell_Grek.jsonl	available
nor_Latn	nor	seen	skipped_bible_not_ready		0	0		missing_source_bible
slk_Latn	slk	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.slk_Latn.jsonl	available
vie_Latn	vie	seen	ready	deu_Latn	7933	7933	evaluation/download_data/download/roundtrip_alignment/roundtrip.vie_Latn.jsonl	available
amh_Ethi	amh	seen	ready	deu_Latn	7640	7640	evaluation/download_data/download/roundtrip_alignment/roundtrip.amh_Ethi.jsonl	available
epo_Latn	epo	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.epo_Latn.jsonl	available
bel_Cyrl	bel	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.bel_Cyrl.jsonl	available
xho_Latn	xho	seen	ready	deu_Latn	7813	7813	evaluation/download_data/download/roundtrip_alignment/roundtrip.xho_Latn.jsonl	available
hin_Deva	hin	seen	ready	deu_Latn	7900	7900	evaluation/download_data/download/roundtrip_alignment/roundtrip.hin_Deva.jsonl	available
tam_Taml	tam	seen	ready	deu_Latn	7893	7893	evaluation/download_data/download/roundtrip_alignment/roundtrip.tam_Taml.jsonl	available
mon_Cyrl	mon	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
ces_Latn	ces	seen	ready	deu_Latn	7288	7288	evaluation/download_data/download/roundtrip_alignment/roundtrip.ces_Latn.jsonl	available
san_Deva	san	seen	ready	deu_Latn	7711	7711	evaluation/download_data/download/roundtrip_alignment/roundtrip.san_Deva.jsonl	available
hye_Armn	hye	seen	ready	deu_Latn	3732	3732	evaluation/download_data/download/roundtrip_alignment/roundtrip.hye_Armn.jsonl	available
pus_Arab	pus	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
som_Arab	som	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
kan_Knda	kan	seen	ready	deu_Latn	7829	7829	evaluation/download_data/download/roundtrip_alignment/roundtrip.kan_Knda.jsonl	available
isl_Latn	isl	seen	ready	deu_Latn	7873	7873	evaluation/download_data/download/roundtrip_alignment/roundtrip.isl_Latn.jsonl	available
ori_Orya	ori	seen	skipped_bible_not_ready		0	0		missing_source_bible
afr_Latn	afr	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.afr_Latn.jsonl	available
deu_Latn	deu	seen	ready	fra_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.deu_Latn.jsonl	available
urd_Arab	urd	seen	ready	deu_Latn	7893	7893	evaluation/download_data/download/roundtrip_alignment/roundtrip.urd_Arab.jsonl	available
bul_Cyrl	bul	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.bul_Cyrl.jsonl	available
tgl_Latn	tgl	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.tgl_Latn.jsonl	available
eus_Latn	eus	seen	ready	deu_Latn	7852	7852	evaluation/download_data/download/roundtrip_alignment/roundtrip.eus_Latn.jsonl	available
pol_Latn	pol	seen	ready	deu_Latn	7934	7934	evaluation/download_data/download/roundtrip_alignment/roundtrip.pol_Latn.jsonl	available
lat_Latn	lat	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.lat_Latn.jsonl	available
tur_Latn	tur	seen	ready	deu_Latn	7455	7455	evaluation/download_data/download/roundtrip_alignment/roundtrip.tur_Latn.jsonl	available
fra_Latn	fra	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.fra_Latn.jsonl	available
cat_Latn	cat	seen	ready	deu_Latn	7936	7936	evaluation/download_data/download/roundtrip_alignment/roundtrip.cat_Latn.jsonl	available
uig_Arab	uig	seen	ready	deu_Latn	7837	7837	evaluation/download_data/download/roundtrip_alignment/roundtrip.uig_Arab.jsonl	available
arb_Arab	arb	seen	ready	deu_Latn	7938	7938	evaluation/download_data/download/roundtrip_alignment/roundtrip.arb_Arab.jsonl	available
sqi_Latn	sqi	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.sqi_Latn.jsonl	available
sin_Sinh	sin	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.sin_Sinh.jsonl	available
msa_Latn	msa	seen	skipped_bible_not_ready		0	0		missing_source_bible
swh_Latn	swh	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.swh_Latn.jsonl	available
kor_Hang	kor	seen	ready	deu_Latn	7937	7937	evaluation/download_data/download/roundtrip_alignment/roundtrip.kor_Hang.jsonl	available
ukr_Cyrl	ukr	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.ukr_Cyrl.jsonl	available
kir_Cyrl	kir	seen	ready	deu_Latn	7841	7841	evaluation/download_data/download/roundtrip_alignment/roundtrip.kir_Cyrl.jsonl	available
yid_Hebr	yid	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
heb_Hebr	heb	seen	ready	deu_Latn	7713	7713	evaluation/download_data/download/roundtrip_alignment/roundtrip.heb_Hebr.jsonl	available
nld_Latn	nld	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.nld_Latn.jsonl	available
fry_Latn	fry	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.fry_Latn.jsonl	available
azb_Arab	azb	seen	ready	deu_Latn	7907	7907	evaluation/download_data/download/roundtrip_alignment/roundtrip.azb_Arab.jsonl	available
glg_Latn	glg	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
fas_Arab	fas	seen	skipped_bible_not_ready		0	0		missing_source_bible
eng_Latn	eng	seen	skipped_bible_not_ready		0	0		skipped_not_in_bible_lang_list
mkd_Cyrl	mkd	seen	ready	deu_Latn	7939	7939	evaluation/download_data/download/roundtrip_alignment/roundtrip.mkd_Cyrl.jsonl	available
ind_Latn	ind	seen	ready	deu_Latn	7937	7937	evaluation/download_data/download/roundtrip_alignment/roundtrip.ind_Latn.jsonl	available
