source_file	line	reference	status	resolved_path	action
README.md	4	Plan.md	ready	docs/exp/v5/Plan.md	none
README.md	4	Report.md	ready	docs/exp/v5/Report.md	none
README.md	6	CURRENT_STATUS_KO.md	ready	docs/exp/v5/CURRENT_STATUS_KO.md	none
README.md	7	PROGRESS_REPORT_KO.md	ready	docs/exp/v5/PROGRESS_REPORT_KO.md	none
README.md	8	TOKENIZER_EXTENSION_METHODS_KO.md	ready	docs/exp/v5/TOKENIZER_EXTENSION_METHODS_KO.md	none
README.md	9	LANGUAGE_SOURCE_OVERLAP_KO.md	ready	docs/exp/v5/LANGUAGE_SOURCE_OVERLAP_KO.md	none
README.md	10	TARGET10_RESELECTION_FOR_DOWNSTREAM_KO.md	ready	docs/exp/v5/TARGET10_RESELECTION_FOR_DOWNSTREAM_KO.md	none
README.md	11	MLM_HELDOUT_POLICY_KO.md	ready	docs/exp/v5/MLM_HELDOUT_POLICY_KO.md	none
README.md	23	CURRENT_STATUS_KO.md	ready	docs/exp/v5/CURRENT_STATUS_KO.md	none
README.md	24	PROGRESS_REPORT_KO.md	ready	docs/exp/v5/PROGRESS_REPORT_KO.md	none
README.md	25	DATA_COMPOSITION_KO.md	ready	docs/exp/v5/DATA_COMPOSITION_KO.md	none
README.md	26	LANGUAGE_SOURCE_OVERLAP_KO.md	ready	docs/exp/v5/LANGUAGE_SOURCE_OVERLAP_KO.md	none
README.md	27	TARGET10_RESELECTION_FOR_DOWNSTREAM_KO.md	ready	docs/exp/v5/TARGET10_RESELECTION_FOR_DOWNSTREAM_KO.md	none
README.md	28	TOKENIZER_EXTENSION_METHODS_KO.md	ready	docs/exp/v5/TOKENIZER_EXTENSION_METHODS_KO.md	none
README.md	29	MLM_HELDOUT_POLICY_KO.md	ready	docs/exp/v5/MLM_HELDOUT_POLICY_KO.md	none
README.md	30	README.md	ready	docs/exp/v5/README.md	none
README.md	31	Plan.md	ready	docs/exp/v5/Plan.md	none
README.md	32	Report.md	ready	docs/exp/v5/Report.md	none
