item	status	evidence	action
bundle_readme	ready	4_reporting/release_bundle/README.md	none
execution_draft_guard	ready	README records bundle status	none
bundle_manifest	ready	rows=142	none
bundle_file:reports/paper_draft.pdf	ready	bytes=127722; expected=127722	none
bundle_file:reports/paper_draft_ko.pdf	ready	bytes=210539; expected=210539	none
bundle_file:reports/paper_draft.html	ready	bytes=42091; expected=42091	none
bundle_file:reports/paper_draft_ko.html	ready	bytes=30967; expected=30967	none
bundle_file:reports/paper_draft.md	ready	bytes=31375; expected=31375	none
bundle_file:reports/paper_draft_ko.md	ready	bytes=23944; expected=23944	none
bundle_file:reports/contribution_summary.md	ready	bytes=5087; expected=5087	none
bundle_file:reports/result_interpretation_blocks.md	ready	bytes=20266; expected=20266	none
bundle_file:reports/manuscript_completion_matrix.md	ready	bytes=7460; expected=7460	none
bundle_file:reports/paper_build_spec.md	ready	bytes=11019; expected=11019	none
bundle_file:reports/references.bib	ready	bytes=1845; expected=1845	none
bundle_file:reports/citation_source_map.md	ready	bytes=3133; expected=3133	none
bundle_file:reports/external_source_verification.md	ready	bytes=4216; expected=4216	none
bundle_file:slides/v5_final_deck_ko.pptx	ready	bytes=30236; expected=30236	none
bundle_file:slides/v5_final_deck_ko.pdf	ready	bytes=80525; expected=80525	none
bundle_file:slides/v5_final_deck_ko.html	ready	bytes=16259; expected=16259	none
bundle_file:slides/final_deck_ko.md	ready	bytes=9241; expected=9241	none
bundle_file:slides/presenter_script_ko.md	ready	bytes=18148; expected=18148	none
bundle_file:slides/rehearsal_plan_ko.md	ready	bytes=10075; expected=10075	none
bundle_file:slides/slide_claim_checklist.md	ready	bytes=3310; expected=3310	none
bundle_file:slides/slide_completion_matrix.md	ready	bytes=5878; expected=5878	none
bundle_file:slides/deck_build_spec.md	ready	bytes=8801; expected=8801	none
bundle_file:slides/slide_asset_manifest.md	ready	bytes=7318; expected=7318	none
bundle_file:slides/slide_asset_manifest.tsv	ready	bytes=6465; expected=6465	none
bundle_file:slides/slide_citation_map.md	ready	bytes=3993; expected=3993	none
bundle_file:slides/defense_qa_ko.md	ready	bytes=13909; expected=13909	none
bundle_file:slides/defense_qa.md	ready	bytes=11637; expected=11637	none
bundle_file:slides/novelty_defense_matrix_ko.md	ready	bytes=8651; expected=8651	none
bundle_file:handoff/one_page_summary_ko.md	ready	bytes=9170; expected=9170	none
bundle_file:handoff/presentation_readiness_checklist_ko.md	ready	bytes=4904; expected=4904	none
bundle_file:handoff/submission_file_index_ko.md	ready	bytes=5632; expected=5632	none
bundle_file:handoff/reviewer_response_crosswalk_ko.md	ready	bytes=7985; expected=7985	none
bundle_file:handoff/final_submission_handoff_ko.md	ready	bytes=11043; expected=11043	none
bundle_file:handoff/objective_requirement_trace_ko.md	ready	bytes=9528; expected=9528	none
bundle_file:handoff/objective_requirement_trace_ko.tsv	ready	bytes=7883; expected=7883	none
bundle_file:handoff/objective_completion_audit.md	ready	bytes=10369; expected=10369	none
bundle_file:handoff/objective_completion_audit.tsv	ready	bytes=9098; expected=9098	none
bundle_file:handoff/goal_readiness.md	ready	bytes=5628; expected=5628	none
bundle_file:handoff/goal_readiness.tsv	ready	bytes=3269; expected=3269	none
bundle_file:handoff/folder_readme_audit.md	ready	bytes=19870; expected=19870	none
bundle_file:handoff/folder_readme_audit.tsv	ready	bytes=17876; expected=17876	none
bundle_file:handoff/final_goal_acceptance_rubric_ko.md	ready	bytes=10819; expected=10819	none
bundle_file:handoff/final_result_update_checklist_ko.md	ready	bytes=13268; expected=13268	none
bundle_file:handoff/post_checkpoint_trigger_card_ko.md	ready	bytes=5288; expected=5288	none
bundle_file:handoff/post_checkpoint_outcome_matrix_ko.md	ready	bytes=11938; expected=11938	none
bundle_file:handoff/post_result_patch_plan_ko.md	ready	bytes=11971; expected=11971	none
bundle_file:handoff/post_result_patch_plan.tsv	ready	bytes=8463; expected=8463	none
bundle_file:handoff/final_freeze_protocol_ko.md	ready	bytes=9817; expected=9817	none
bundle_file:handoff/final_freeze_evidence_checklist_ko.md	ready	bytes=4643; expected=4643	none
bundle_file:handoff/final_handoff_runbook.md	ready	bytes=7420; expected=7420	none
bundle_file:handoff/final_action_dashboard_ko.md	ready	bytes=10092; expected=10092	none
bundle_file:handoff/final_action_dashboard_ko.tsv	ready	bytes=7790; expected=7790	none
bundle_file:handoff/final_assembly_manifest.md	ready	bytes=3934; expected=3934	none
bundle_file:handoff/final_assembly_manifest.tsv	ready	bytes=3004; expected=3004	none
bundle_file:handoff/result_delay_contingency_ko.md	ready	bytes=5752; expected=5752	none
bundle_file:final_claim_decision_tree.md	ready	bytes=2867; expected=2867	none
bundle_file:final_claim_decision_tree.tsv	ready	bytes=2559; expected=2559	none
bundle_file:claim_promotion_matrix.md	ready	bytes=4416; expected=4416	none
bundle_file:claim_promotion_matrix.tsv	ready	bytes=3459; expected=3459	none
bundle_file:handoff/post_checkpoint_execution_plan.md	ready	bytes=7837; expected=7837	none
bundle_file:handoff/post_checkpoint_eval_recovery.md	ready	bytes=7628; expected=7628	none
bundle_file:handoff/metric_mapping.md	ready	bytes=6380; expected=6380	none
bundle_file:handoff/glot500_metric_requirements.md	ready	bytes=4173; expected=4173	none
bundle_file:audits/training_loss_snapshot.md	ready	bytes=2019; expected=2019	none
