method	phase	step	loss
family_mean	continuation	1000.000	4.8717
family_mean	continuation	2000.000	4.4726
family_mean	continuation	3000.000	4.3023
family_mean	continuation	4000.000	4.1644
family_mean	continuation	5000.000	4.0525
family_mean	continuation	6000.000	3.9575
family_mean	continuation	7000.000	3.877
family_mean	continuation	8000.000	3.8124
family_mean	continuation	9000.000	3.7515
family_mean	continuation	10000.000	3.7038
family_mean	continuation	11000.000	3.6402
family_mean	continuation	12000.000	3.5802
family_mean	continuation	13000.000	3.5508
family_mean	continuation	14000.000	3.5034
family_mean	continuation	15000.000	3.4668
family_mean	continuation	16000.000	3.4373
family_mean	continuation	17000.000	3.397
family_mean	continuation	18000.000	3.3712
family_mean	continuation	19000.000	3.3497
family_mean	continuation	20000.000	3.3028
family_mean	continuation	21000.000	3.2775
family_mean	continuation	22000.000	3.2561
family_mean	continuation	23000.000	3.2288
family_mean	continuation	24000.000	3.2106
family_mean	continuation	25000.000	3.1986
family_mean	continuation	26000.000	3.1532
family_mean	continuation	27000.000	3.1469
family_mean	continuation	28000.000	3.1337
family_mean	continuation	29000.000	3.103
family_mean	continuation	30000.000	3.0806
family_mean	continuation	31000.000	3.0832
family_mean	continuation	32000.000	3.0686
family_mean	continuation	33000.000	3.0492
family_mean	continuation	34000.000	3.0319
family_mean	continuation	35000.000	3.0172
family_mean	continuation	36000.000	3.024
family_mean	continuation	37000.000	3.002
family_mean	continuation	38000.000	2.9923
family_mean	continuation	39000.000	2.9742
family_mean	continuation	40000.000	2.9573
family_mean	continuation	41000.000	2.9566
family_mean	continuation	42000.000	2.9626
family_mean	continuation	43000.000	2.9533
family_mean	continuation	44000.000	2.9505
family_mean	continuation	45000.000	2.9322
family_mean	continuation	46000.000	2.931
family_mean	continuation	47000.000	2.9204
family_mean	continuation	48000.000	2.9223
family_mean	continuation	49000.000	2.9149
family_mean	continuation	50000.000	2.914
weighted_fvt	continuation	1000.000	3.9088
weighted_fvt	continuation	2000.000	3.5633
weighted_fvt	continuation	3000.000	3.4549
weighted_fvt	continuation	4000.000	3.3836
weighted_fvt	continuation	5000.000	3.3153
weighted_fvt	continuation	6000.000	3.2563
weighted_fvt	continuation	7000.000	3.2083
weighted_fvt	continuation	8000.000	3.1766
weighted_fvt	continuation	9000.000	3.1413
weighted_fvt	continuation	10000.000	3.1128
weighted_fvt	continuation	11000.000	3.0735
weighted_fvt	continuation	12000.000	3.0332
weighted_fvt	continuation	13000.000	3.0199
weighted_fvt	continuation	14000.000	2.9952
weighted_fvt	continuation	15000.000	2.976
weighted_fvt	continuation	16000.000	2.9584
weighted_fvt	continuation	17000.000	2.9328
weighted_fvt	continuation	18000.000	2.9189
weighted_fvt	continuation	19000.000	2.9145
weighted_fvt	continuation	20000.000	2.8793
weighted_fvt	continuation	21000.000	2.8744
weighted_fvt	continuation	22000.000	2.8648
weighted_fvt	continuation	23000.000	2.8497
weighted_fvt	continuation	24000.000	2.8479
weighted_fvt	continuation	25000.000	2.8476
weighted_fvt	continuation	26000.000	2.8171
weighted_fvt	continuation	27000.000	2.8245
weighted_fvt	continuation	28000.000	2.8209
weighted_fvt	continuation	29000.000	2.8038
weighted_fvt	continuation	30000.000	2.7971
weighted_fvt	continuation	31000.000	2.8014
weighted_fvt	continuation	32000.000	2.7974
weighted_fvt	continuation	33000.000	2.7839
weighted_fvt	continuation	34000.000	2.7751
weighted_fvt	continuation	35000.000	2.7734
weighted_fvt	continuation	36000.000	2.7806
weighted_fvt	continuation	37000.000	2.7684
weighted_fvt	continuation	38000.000	2.7621
weighted_fvt	continuation	39000.000	2.7528
weighted_fvt	continuation	40000.000	2.7484
weighted_fvt	continuation	41000.000	2.75
weighted_fvt	continuation	42000.000	2.7524
weighted_fvt	continuation	43000.000	2.7519
weighted_fvt	continuation	44000.000	2.7474
weighted_fvt	continuation	45000.000	2.7414
weighted_fvt	continuation	46000.000	2.7414
weighted_fvt	continuation	47000.000	2.7347
weighted_fvt	continuation	48000.000	2.7295
weighted_fvt	continuation	49000.000	2.7301
weighted_fvt	continuation	50000.000	2.7254
fvt	prior	1000	3.9866
fvt	prior	2000	3.6870
fvt	prior	3000	3.5787
fvt	prior	4000	3.4810
fvt	prior	5000	3.4333
fvt	prior	6000	3.4078
fvt	prior	7000	3.3423
fvt	continuation	8000	3.3168
fvt	continuation	9000	3.2514
fvt	continuation	10000	3.2243
fvt	continuation	11000	3.1979
fvt	continuation	12000	3.1493
fvt	continuation	13000	3.1056
fvt	continuation	14000	3.0717
fvt	continuation	15000	3.0479
fvt	continuation	16000	3.022
fvt	continuation	17000	3.0006
fvt	continuation	18000	2.9681
fvt	continuation	19000	2.9358
fvt	continuation	20000	2.9267
fvt	continuation	21000	2.9083
fvt	continuation	22000	2.8935
fvt	continuation	23000	2.8812
fvt	continuation	24000	2.8602
fvt	continuation	25000	2.8523
fvt	continuation	26000	2.8523
fvt	continuation	27000	2.8268
fvt	continuation	28000	2.8282
fvt	continuation	29000	2.822
fvt	continuation	30000	2.8184
fvt	continuation	31000	2.8234
fvt	continuation	32000	2.8285
fvt	continuation	33000	2.804
fvt	continuation	34000	2.8158
fvt	continuation	35000	2.8185
fvt	continuation	36000	2.8084
fvt	continuation	37000	2.8093
fvt	continuation	38000	2.8171
fvt	continuation	39000	2.8179
fvt	continuation	40000	2.8031
fvt	continuation	41000	2.7934
fvt	continuation	42000	2.7904
fvt	continuation	43000	2.7961
fvt	continuation	44000	2.7816
fvt	continuation	45000	2.7732
fvt	continuation	46000	2.7659
fvt	continuation	47000	2.7601
fvt	continuation	48000	2.7594
fvt	continuation	49000	2.7591
fvt	continuation	50000	2.7571
mean	prior	1000	4.9107
mean	prior	2000	4.6895
mean	prior	3000	4.5278
mean	prior	4000	4.4361
mean	prior	5000	4.3221
mean	prior	6000	4.2565
mean	prior	7000	4.1808
mean	continuation	8000	4.1052
mean	continuation	9000	4.0396
mean	continuation	10000	3.9639
mean	continuation	11000	3.9283
mean	continuation	12000	3.8626
mean	continuation	13000	3.797
mean	continuation	14000	3.7439
mean	continuation	15000	3.6976
mean	continuation	16000	3.6506
mean	continuation	17000	3.6121
mean	continuation	18000	3.569
mean	continuation	19000	3.5189
mean	continuation	20000	3.5009
mean	continuation	21000	3.4693
mean	continuation	22000	3.4466
mean	continuation	23000	3.4253
mean	continuation	24000	3.4013
mean	continuation	25000	3.3829
mean	continuation	26000	3.3819
mean	continuation	27000	3.3528
mean	continuation	28000	3.3513
mean	continuation	29000	3.3431
mean	continuation	30000	3.3385
mean	continuation	31000	3.3411
mean	continuation	32000	3.3463
mean	continuation	33000	3.3201
mean	continuation	34000	3.332
mean	continuation	35000	3.342
mean	continuation	36000	3.3237
mean	continuation	37000	3.3286
mean	continuation	38000	3.3356
mean	continuation	39000	3.3336
mean	continuation	40000	3.3211
mean	continuation	41000	3.3082
mean	continuation	42000	3.3038
mean	continuation	43000	3.3120
mean	continuation	44000	3.2907
mean	continuation	45000	3.2842
mean	continuation	46000	3.2769
mean	continuation	47000	3.2704
mean	continuation	48000	3.2729
mean	continuation	49000	3.2718
mean	continuation	50000	3.2716
random	prior	1000	4.7936
random	prior	2000	4.6088
random	prior	3000	4.4704
random	prior	4000	4.3971
random	prior	5000	4.2882
random	prior	6000	4.2095
random	prior	7000	4.1008
random	continuation	8000	4.0021
random	continuation	9000	3.8735
random	continuation	10000	3.7948
random	continuation	11000	3.7081
random	continuation	12000	3.6574
random	continuation	13000	3.6387
random	continuation	14000	3.599
random	continuation	15000	3.5474
random	continuation	16000	3.4977
random	continuation	17000	3.4572
random	continuation	18000	3.4131
random	continuation	19000	3.3629
random	continuation	20000	3.343
random	continuation	21000	3.3131
random	continuation	22000	3.2888
random	continuation	23000	3.2691
random	continuation	24000	3.2442
random	continuation	25000	3.227
random	continuation	26000	3.2252
random	continuation	27000	3.195
random	continuation	28000	3.1948
random	continuation	29000	3.186
random	continuation	30000	3.1819
random	continuation	31000	3.1854
random	continuation	32000	3.1912
random	continuation	33000	3.1642
random	continuation	34000	3.1767
random	continuation	35000	3.1831
random	continuation	36000	3.1675
random	continuation	37000	3.1718
random	continuation	38000	3.1796
random	continuation	39000	3.1783
random	continuation	40000	3.1651
random	continuation	41000	3.1521
random	continuation	42000	3.1494
random	continuation	43000	3.1553
random	continuation	44000	3.1374
random	continuation	45000	3.1293
random	continuation	46000	3.1221
random	continuation	47000	3.1164
random	continuation	48000	3.1185
random	continuation	49000	3.1164
random	continuation	50000	3.1150
