sample_id	iso	language	split	sample_type	verse_id	char_len	text
sample_acu_01	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.1	198	Ju papikia Jesucristo pachisar aarmawaitai. Jesucristo Davidta weari ayayi. Tura Davidcha Abrahama weari ayayi. Tura Abrahama weari ainau, tura Davidta weari ainau naaringkia ju papinum aarmawaitai.
sample_acu_02	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.2	122	Abraham Isaacan yajutmarmiayi. Tura Isaac Jacobon yajutmarmiayi. Tura Jacob Judán tura Judá yachí ainauncha yajutmarmiayi.
sample_acu_03	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.3	130	Tura Judá Tamaran nuwatak, ni uchirin Faresan tura chikich uchirin Zara naartinun yajutmarmiayi. Tura Fares Esroman yajutmarmiayi.
sample_acu_04	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.4	144	Tura Esrom Araman yajutmarmiayi. Tura Aram Aminadaban yajutmarmiayi. Tura Aminadab Naasónkan yajutmarmiayi. Tura Naasón Salmónkan yajutmarmiayi.
sample_acu_05	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.5	126	Tura Salmón Rahaban nuwatak Boozan yajutmarmiayi. Tura Booz Rutan nuwatak Obedan yajutmarmiayi. Tura Obed Isaín yajutmarmiayi.
sample_acu_06	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.6	138	Tura Isaí apu Davidtan yajutmarmiayi. Davidka Israela apuri ayayi. Tura David Uríasa nuwarin nuwatak, ni uchirin Salomónkan yajutmarmiayi.
sample_acu_07	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.7	102	Tura Salomón Roboaman yajutmarmiayi. Tura Roboam Abíasan yajutmarmiayi. Tura Abías Asan yajutmarmiayi.
sample_acu_08	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.8	103	Tura Asa Josafatan yajutmarmiayi. Tura Josafat Joraman yajutmarmiayi. Tura Joram Oseasan yajutmarmiayi.
sample_acu_09	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.9	102	Tura Oseas Jotaman yajutmarmiayi. Tura Jotam Acazan yajutmarmiayi. Tura Acaz Ezequíasan yajutmarmiayi.
sample_acu_10	acu	Achuar-Shiwiar	train	regular_train	b.MAT.1.10	108	Tura Ezequías Manasésan yajutmarmiayi. Tura Manasés Amónkan yajutmarmiayi. Tura Amón Josíasan yajutmarmiayi.
